unfixed,fixed
unknown,
Nie wiem ,
"It was only practice on Saturdays and Sundays, so it took about two and a half months.",80
I do not understand,
One week approx,7
a couple of weeks,14
I don't know anymore either,
Unknown,
a month,30
about a month,30
About a week,7
I do not remember,
I do not know that anymore,
Like a week practicing every monday around an hour a day,7
"I would guess at least two months, but see above for the details",60
Four days,4
"After practicing for a week and doing less than an hour a day, I was able to ride",7
Several weeks or even a few months,60
Not certain. Less than a month though.,30
about two weeks,14
Two weeks,14
I think it was a month or two. But that was mainly waiting for the snow to melt because i started learning in december,60
Weeks,14
unknown  too long ago,
Two months,60
About a month,30
do not know,
Dont remember,
I do not know anymore,
One month,30
I can not remember,
About a month and a half,45
twenty',20
A month or two ,60
"twenty""",20
A good ten days,10
"Since I practiced once or twice a week, it was about a year in total",365
dont remember    i do remember it was the summer ,
Same day,1
Months,60
Could not learn,
One day,1
idk,
Three weeks,21
Months! It was a circus school and we went through different workshops so little or no unicycle training at each session.,60
several months,90
Unknown.,
About a year,365
Still a work in progress ,
twenty#,20
"Again, I didn't note how long and time was pretty limited but the time above was spread out over about a month",30
I am not ready yet,
Less than a month,29
An afternoon,1
Not much,
A school year,180
Over a year,400
